,nombre,tipo,direccion,type2,schuko,ccs2,chademo,cpostal,Nom_Districte,total_punts
205,"Reina Victoria, 9",Superficie,10 Carrer de la Reina Victòria 08021,2,0,1,1,8021,Sarrià-St. Gervasi,4
206,Virgili 10,Superficie,4 Carrer de Virgili 08030,2,0,1,1,8030,Sant Andreu,4
207,Can Bruixa 23,Superficie,33 Carrer de Can Bruixa 08014,2,0,1,1,8014,Sants-Montjuïc,4
208,Cantàbria 28,Superficie,29 Carrer de Cantàbria 08020,2,0,1,1,8020,Sant Martí,4
209,Salvador Espriu 97,Superficie,Carrer de Salvador Espriu 08005,2,0,1,1,8005,Sant Martí,4
210,Torras i Bages 124,Superficie,124 Plaça de Josep Andreu i Abelló 08030,2,0,1,1,8030,Sant Andreu,4
211,Poesia 2,Superficie,7B Carrer de la Poesia 08035,2,0,1,1,8035,Horta-Guinardó,4
212,Pare Mariana 21,Superficie,135 Carrer del Pare Mariana 08035,2,0,1,1,8035,Horta-Guinardó,4
213,Química 2,Superficie,2 Carrer de la Química 08038,2,0,1,1,8038,Sants-Montjuïc,4
214,Pg. Joan de Borbó 68,Superficie,69 Passeig de Joan de Borbó 08003,2,2,0,0,8003,Ciutat Vella,4
215,John M. Keynes,Superficie,37 Carrer de John Maynard Keynes 08034,2,0,1,1,8034,Les Corts,4
216,Jerez 14,Superficie,16 Carrer de Jerez 08032,1,1,1,1,8032,Horta-Guinardó,4
217,Pg. Picasso 8,Superficie,8 Passeig de Picasso 08003,2,0,1,1,8003,Ciutat Vella,4
218,Europa 12,Superficie,14 Carrer d'Europa 08028,2,0,1,1,8028,Sants-Montjuïc,4
219,Entença 335,Superficie,115 Carrer de Déu i Mata 08029,2,0,1,1,8029,Les Corts,4
220,"Via Favència, 21",Superficie,21X Via Favència 08042,2,0,1,1,8042,Nou Barris,4
221,"Carrer Roc Boronat, 122",Superficie,125 Carrer de Roc Boronat 08018,2,0,1,1,8018,Sant Martí,4
222,"Carrer Roc Boronat, 122",Superficie,125 Carrer de Roc Boronat 08018,2,0,1,1,8018,Sant Martí,4
223,"Carrer Fra Juníper Serra, 57",Superficie,61 Carrer de Fra Juníper Serra 08030,2,0,1,1,8030,Sant Andreu,4
224,"Pla de Palau, 21",Superficie,1366 Pla de Palau 08003,2,0,1,1,8003,Ciutat Vella,4
225,"Llull, 285",Superficie,288 Calle de Llull 08019,2,2,0,0,8019,Sant Martí,4
226,"Fontanella, 1",Superficie,1 Carrer de Fontanella 08002,2,2,0,0,8002,Ciutat Vella,4
227,"Provença, 447",Superficie,447 Carrer de Provença 08025,2,0,1,1,8025,Horta-Guinardó,4
228,Galícia,Parking,12 Carrer de Galícia 08033,2,2,0,0,8033,Nou Barris,4
229,"Mercadona València, Barcelona",Parking,531 Carrer de València 08013,4,0,0,0,8013,Eixample,4
230,Saba Constanza,Parking,69 Carrer de Déu i Mata 08029,4,0,0,0,8029,Les Corts,4
231,Torre Pujades,Parking,342 Carrer de Pujades 08019,4,0,0,0,8019,Sant Martí,4
232,Mercadona La Pau,Tienda,24 carrer José Garrido Gámez 08020,4,0,0,0,8020,Sant Martí,4
233,Hotel Claris,Hotel,152 Carrer de Pau Claris 08009,4,0,0,0,8009,Eixample,4
