,nombre,tipo,direccion,type2,schuko,ccs2,chademo
93,"Ciutat de Granada, 11",Superficie,1612 Carrer de la Ciutat de Granada 08005,6,3,0,0
94,"Avinguda del Paral·lel, 55",Superficie,54 Avinguda del Paral·lel 08004,3,2,2,2
95,"Aparcament Viriat, 5-23",Superficie,23 Carrer de Viriat 08014,3,0,3,3
96,"Pl. Alfonso Comín, 12",Superficie,13 Carrer de Collserola 08022,3,0,3,3
97,Lidl Gran Vía 159,Tienda,159 Gran Via de les Corts Catalanes 08014,9,0,0,0
98,Parking Aura,Parking,33 Carrer de Buenos Aires 08036,8,0,0,0
99,RTVE_RNE Barcelona,Superficie,127 Carrer de Roc Boronat 08018,8,0,0,0
100,CC Westfield La Maquinista,Superficie,80 carrer de la República Dominicana 08030,8,0,0,0
101,Interparking Hispania/6207,Superficie,206 La Rambla 08002,8,0,0,0
102,Interparking Hispania/6205,Superficie,270 Carrer de València 08007,8,0,0,0
103,Interparking Hispania/6204,Superficie,649 Carrer de Còrsega 08025,8,0,0,0
104,"Hort de la Vila, 46",Superficie,50 Carrer de l'Hort de la Vila 08017,4,0,2,2
105,"Joan de Borbó, 12",Superficie,14 Passeig de Joan de Borbó 08003,4,4,0,0
106,"Pl. Alfonso Comín, 12",Superficie,13 Carrer de Collserola 08022,4,0,2,2
107,Ciutat Meridiana,Parking,70B Avinguda dels Rasos de Peguera 08033,4,4,0,0
108,"Camp de l'Arpa, 08041, Barcelona",Parking,408 Carrer de Sant Antoni Maria Claret 08041,0,0,8,0
109,Parking trinxant,Parking,114 114 08041,8,0,0,0
110,Sector DFactory,Superficie,57 Carrer Lletra A de la Zona Franca 08040,8,0,0,0
111,Encants,Parking,162 Carrer de los Castillejos 08013,4,4,0,0
112,Sant Genís-Vall d´Hebron,Parking,158 Passeig de la Vall d'Hebron 08035,6,2,0,0
113,Bus Garcia Fària,Parking,560 Carrer de Josep Pla 08019,4,4,0,0
114,Parking - Joan de Borbó,Parking,2 Passeig de Joan de Borbó 08003,8,0,0,0
115,Parking Dr. Roig i Raventós,Parking,73 Carrer de Dalmases 08022,0,8,0,0
116,Parking Torre Tarragona 161 - Promoparc,Superficie,161U Carrer de Tarragona 08014,7,0,0,0
117,BCSABAURQUINAONA02,Superficie,2 Carrer d'Ausiàs Marc 08010,7,0,0,0
118,2028-Telpark - Hospital Clínic-CEK,Superficie,149 Carrer del Rosselló 08036,7,0,0,0
119,Eranovum e-mobility/64e601f57194eb2747971415,Superficie,325I Carrer d'Aragó 08009,6,0,1,0
120,"Lope de Vega, 158-160",Superficie,492 Carrer de Lope de Vega 08018,4,3,0,0
121,Foneria 29,Superficie,26 Carrer de la Foneria 08038,3,0,2,2
122,Pintor Tapiró 2-6,Superficie,5 Carrer del Pintor Tapiró 08028,4,3,0,0
123,"Av. Josep Vicenç Foix, 86 Bis",Superficie,86 Avinguda de Josep Vicenç Foix 08034,4,3,0,0
124,"Rbla. Guipúscoa, 103",Superficie,103 Carrer de Guipúscoa 08020,4,3,0,0
125,"Av. Esplugues, 52",Superficie,10 Carrer d'Eduard Toldrà 08034,4,3,0,0
126,c/ Europa 38,Superficie,38 Carrer d'Europa 08014,4,3,0,0
127,"Torras i Bages, 11",Superficie,11 Passeig de Torras i Bages 08030,4,3,0,0
128,Mercat del Guinardó,Parking,24 Carrer de Teodor Llorente 08041,6,1,0,0
129,Mercat del Guinardó,Parking,24 Carrer de Teodor Llorente 08041,6,1,0,0
130,W Barcelona,Parking,21 Passeig del Mare Nostrum 08039,6,0,0,0
131,"Club Arsenal Femenino Barcelona, Carrer d'Amigó 72",Parking,72 Carrer d'Amigó 08021,6,0,0,0
132,"Club Arsenal Masculino Barcelona, Carrer de Pomaret 49",Parking,2B Carrer de Terré 08017,6,0,0,0
133,"Garage Rambla del Brasil 29, PLANTA -1",Parking,29 Rambla del Brasil 08028,6,0,0,0
134,Indra 22@ Barcelona,Superficie,133 Carrer Lutxana 08018,6,0,0,0
135,GRIFOLS - SELBA EdRSR 1,Superficie,152 Avinguda de la Generalitat 08174,6,0,0,0
136,Melia Barcelona Sarrià,Superficie,50 Avinguda de Sarrià 08029,6,0,0,0
137,Campus Mundet - Migdia,Parking,0 Avinguda d'Arturo Mundet 08035,6,0,0,0
138,Pàrking - SELBA EdRSR 1,Superficie,86 Gran Via de Carles III 08028,6,0,0,0
139,Parking Garatge 2000 - SELBA EdRSR,Superficie,86 Carrer de Sant Antoni Maria Claret 08025,6,0,0,0
140,Atlante - Marina Vela Capitania,Superficie,109 Passeig de Joan de Borbó 08039,0,0,6,0
141,Atlante - Marina Vela Capitania,Superficie,109 Passeig de Joan de Borbó 08039,0,0,6,0
142,BCMIRAMAR01,Superficie,44 N-2 08304,2,0,2,2
