,nombre,tipo,direccion,type2,schuko,ccs2,chademo
593,Endesa CPO - ANPORA AUGUSTA - Via Augusta,Superficie,35 Carrer de Brusi 08006,1,0,0,0
594,Endesa CPO - ANPORA AUGUSTA - Via Augusta,Superficie,35 Carrer de Brusi 08006,1,0,0,0
595,Endesa CPO - PARKING CLINICA CORACHAN - Plaça de Manuel Corachán,Superficie,5 Plaça de Manuel Corachán 08017,1,0,0,0
596,Endesa CPO - PARKING CLINICA CORACHAN - Plaça de Manuel Corachán,Superficie,5 Plaça de Manuel Corachán 08017,1,0,0,0
597,Endesa CPO - PARKING CLINICA COARCHAN - Plaça de Manuel Corachán,Superficie,5 Plaça de Manuel Corachán 08017,1,0,0,0
598,Endesa CPO - PARKING CLINICA COARCHAN - Plaça de Manuel Corachán,Superficie,5 Plaça de Manuel Corachán 08017,1,0,0,0
599,Endesa CPO - PARKING PARKIA - Passeig de Maragall,Superficie,50 Passeig Maragall 08041,1,0,0,0
600,Endesa CPO - PARKING PARKIA - Passeig de Maragall,Superficie,50 Passeig Maragall 08041,1,0,0,0
601,Endesa CPO - Carrer de la Fusina,Superficie,4 Plaça Comercial 08003,1,0,0,0
602,Endesa CPO - Carrer de la Fusina,Superficie,4 Plaça Comercial 08003,1,0,0,0
603,Endesa CPO - Passeig Maragall,Superficie,52 Passeig Maragall 08041,1,0,0,0
604,Endesa CPO - Passeig Maragall,Superficie,52 Passeig Maragall 08041,1,0,0,0
605,Endesa CPO - PARKING PARKIA - Plaza Comercial,Superficie,2 Plaça Comercial 08003,1,0,0,0
606,Endesa CPO - PARKING PARKIA - Plaza Comercial,Superficie,2 Plaça Comercial 08003,1,0,0,0
607,Endesa CPO - Avinguda Diagonal,Superficie,595 Avinguda Diagonal 08014,1,0,0,0
608,Endesa CPO - Avinguda Diagonal,Superficie,595 Avinguda Diagonal 08014,1,0,0,0
609,Endesa CPO - Via Augusta,Superficie,353 Via Augusta 08017,1,0,0,0
610,Endesa CPO - Via Augusta,Superficie,353 Via Augusta 08017,1,0,0,0
611,Endesa CPO - Avinguda Diagonal,Superficie,595 Avinguda Diagonal 08014,1,0,0,0
612,Endesa CPO - Avinguda Diagonal,Superficie,595 Avinguda Diagonal 08014,1,0,0,0
613,Endesa CPO - Via Augusta,Superficie,353 Via Augusta 08017,1,0,0,0
614,Endesa CPO - Via Augusta,Superficie,353 Via Augusta 08017,1,0,0,0
615,Endesa CPO - Via Augusta,Superficie,353 Via Augusta 08017,1,0,0,0
616,Endesa CPO - Via Augusta,Superficie,353 Via Augusta 08017,1,0,0,0
617,Endesa CPO - Via Augusta,Superficie,353 Via Augusta 08017,1,0,0,0
618,Endesa CPO - Via Augusta,Superficie,353 Via Augusta 08017,1,0,0,0
619,Endesa CPO - JOSEL CORSEGA - C. de Còrsega,Superficie,345 Carrer de Còrsega 08037,1,0,0,0
620,Endesa CPO - JOSEL CORSEGA - C. de Còrsega,Superficie,345 Carrer de Còrsega 08037,1,0,0,0
621,Endesa CPO - JOSEL CORSEGA - C. de Còrsega,Superficie,344 Carrer de Còrsega 08037,1,0,0,0
622,Endesa CPO - JOSEL CORSEGA - C. de Còrsega,Superficie,344 Carrer de Còrsega 08037,1,0,0,0
623,Endesa CPO - JOSEL CORSEGA - C. de Còrsega,Superficie,344 Carrer de Còrsega 08037,1,0,0,0
624,Endesa CPO - JOSEL CORSEGA - C. de Còrsega,Superficie,344 Carrer de Còrsega 08037,1,0,0,0
625,Endesa CPO - JOSEL CORSEGA - C. de Còrsega,Superficie,344 Carrer de Còrsega 08037,1,0,0,0
626,Endesa CPO - JOSEL CORSEGA - C. de Còrsega,Superficie,344 Carrer de Còrsega 08037,1,0,0,0
627,Endesa CPO - JOSEL CORSEGA - C. de Còrsega,Superficie,346 Carrer de Còrsega 08037,1,0,0,0
628,Endesa CPO - JOSEL CORSEGA - C. de Còrsega,Superficie,346 Carrer de Còrsega 08037,1,0,0,0
629,Endesa CPO - JOSEL CORSEGA - C. de Còrsega,Superficie,344 Carrer de Còrsega 08037,1,0,0,0
630,Endesa CPO - JOSEL CORSEGA - C. de Còrsega,Superficie,344 Carrer de Còrsega 08037,1,0,0,0
631,Endesa CPO - Marriot AC Barcelona FórumPasseig del taulat 278,Superficie,278 Passeig del Taulat 08019,1,0,0,0
632,Endesa CPO - Marriot AC Barcelona FórumPasseig del taulat 278,Superficie,278 Passeig del Taulat 08019,1,0,0,0
633,Endesa CPO - PARKING DE BARCELONA (FIRA GRAN VIA) - Carrer del Foc,Superficie,31 Carrer del Foc 08038,1,0,0,0
634,Endesa CPO - PARKING DE BARCELONA (FIRA GRAN VIA) - Carrer del Foc,Superficie,31 Carrer del Foc 08038,1,0,0,0
635,Endesa CPO - PARKING DE BARCELONA (FIRA GRAN VIA) - Carrer del Foc,Superficie,31 Carrer del Foc 08038,1,0,0,0
636,Endesa CPO - PARKING DE BARCELONA (FIRA GRAN VIA) - Carrer del Foc,Superficie,31 Carrer del Foc 08038,1,0,0,0
637,Endesa CPO - PARKING DE BARCELONA (FIRA GRAN VIA) - Carrer del Foc,Superficie,31 Carrer del Foc 08038,1,0,0,0
638,Endesa CPO - PARKING DE BARCELONA (FIRA GRAN VIA) - Carrer del Foc,Superficie,31 Carrer del Foc 08038,1,0,0,0
639,Endesa CPO - PARKING DE BARCELONA (FIRA GRAN VIA) - Carrer del Foc,Superficie,31 Carrer del Foc 08038,1,0,0,0
640,Endesa CPO - PARKING DE BARCELONA (FIRA GRAN VIA) - Carrer del Foc,Superficie,31 Carrer del Foc 08038,1,0,0,0
641,Endesa CPO - Marriot AC Barcelona FórumPasseig del taulat 278,Superficie,278 Passeig del Taulat 08019,1,0,0,0
642,Endesa CPO - Marriot AC Barcelona FórumPasseig del taulat 278,Superficie,278 Passeig del Taulat 08019,1,0,0,0
643,Endesa CPO - Marriot AC Barcelona FórumPasseig del taulat 278,Superficie,278 Passeig del Taulat 08019,1,0,0,0
644,Endesa CPO - Marriot AC Barcelona FórumPasseig del taulat 278,Superficie,278 Passeig del Taulat 08019,1,0,0,0
645,Endesa CPO - Marriot AC Barcelona FórumPasseig del taulat 278,Superficie,278 Passeig del Taulat 08019,1,0,0,0
646,Endesa CPO - Marriot AC Barcelona FórumPasseig del taulat 278,Superficie,278 Passeig del Taulat 08019,1,0,0,0
647,Endesa CPO - PARKING DE BARCELONA (FIRA GRAN VIA) - Carrer del Foc,Superficie,31 Carrer del Foc 08038,1,0,0,0
648,Endesa CPO - PARKING DE BARCELONA (FIRA GRAN VIA) - Carrer del Foc,Superficie,31 Carrer del Foc 08038,1,0,0,0
649,Endesa CPO - PARKING DE BARCELONA (FIRA GRAN VIA) - Carrer del Foc,Superficie,31 Carrer del Foc 08038,1,0,0,0
650,Endesa CPO - PARKING DE BARCELONA (FIRA GRAN VIA) - Carrer del Foc,Superficie,31 Carrer del Foc 08038,1,0,0,0
651,Endesa CPO - PARKING DE BARCELONA (FIRA GRAN VIA) - Carrer del Foc,Superficie,31 Carrer del Foc 08038,1,0,0,0
652,Endesa CPO - PARKING DE BARCELONA (FIRA GRAN VIA) - Carrer del Foc,Superficie,31 Carrer del Foc 08038,1,0,0,0
653,Endesa CPO - Carrer de la Ciutat d'Asuncion,Superficie,36 Carrer de la Ciutat d'Asuncion 08030,0,0,0,0
654,Endesa CPO - Carrer de la Ciutat d'Asuncion,Superficie,36 Carrer de la Ciutat d'Asuncion 08030,0,0,0,0
655,Endesa CPO - Fira Pabellon 8,Superficie,18U Carrer dels Alts Forns 08038,1,0,0,0
656,Endesa CPO - Fira Pabellon 8,Superficie,18U Carrer dels Alts Forns 08038,1,0,0,0
657,Endesa CPO - Fira Pabellon 8,Superficie,32 Carrer dels Alts Forns 08038,1,0,0,0
658,Endesa CPO - Fira Pabellon 8,Superficie,32 Carrer dels Alts Forns 08038,1,0,0,0
659,Endesa CPO - Fira Pabellon 8,Superficie,32 Carrer dels Alts Forns 08038,1,0,0,0
660,Endesa CPO - Fira Pabellon 8,Superficie,32 Carrer dels Alts Forns 08038,1,0,0,0
661,Endesa CPO - PARKING MALLORCA - Carrer de Mallorca,Superficie,23a Carrer de Mallorca 08014,1,0,0,0
662,Endesa CPO - PARKING MALLORCA - Carrer de Mallorca,Superficie,23a Carrer de Mallorca 08014,1,0,0,0
663,Endesa CPO - BAMSA - Pl. d'Urquinaona,Superficie,40S Carrer de Casp 08010,1,0,0,0
664,Endesa CPO - BAMSA - Pl. d'Urquinaona,Superficie,40S Carrer de Casp 08010,1,0,0,0
665,Endesa CPO - BAMSA - Pl. d'Urquinaona,Superficie,40S Carrer de Casp 08010,1,0,0,0
666,Endesa CPO - BAMSA - Pl. d'Urquinaona,Superficie,40S Carrer de Casp 08010,1,0,0,0
667,Endesa CPO - BAMSA - Pl. d'Urquinaona,Superficie,40S Carrer de Casp 08010,1,0,0,0
668,Endesa CPO - BAMSA - Pl. d'Urquinaona,Superficie,40S Carrer de Casp 08010,1,0,0,0
669,Endesa CPO - BAMSA - Pl. d'Urquinaona,Superficie,40S Carrer de Casp 08010,1,0,0,0
670,Endesa CPO - BAMSA - Pl. d'Urquinaona,Superficie,40S Carrer de Casp 08010,1,0,0,0
671,Endesa CPO - BAMSA - Pl. d'Urquinaona,Superficie,40S Carrer de Casp 08010,1,0,0,0
672,Endesa CPO - BAMSA - Pl. d'Urquinaona,Superficie,40S Carrer de Casp 08010,1,0,0,0
673,Endesa CPO - SABA - Calle de Casanova SN,Superficie,119 Carrer de Casanova 08036,1,0,0,0
674,Endesa CPO - SABA - Calle de Casanova SN,Superficie,119 Carrer de Casanova 08036,1,0,0,0
675,Endesa CPO - SABA - Calle de Casanova SN,Superficie,160 Carrer de Mallorca 08036,1,0,0,0
676,Endesa CPO - SABA - Calle de Casanova SN,Superficie,160 Carrer de Mallorca 08036,1,0,0,0
677,Endesa CPO - PARKING SABA BAMSA PAU CASALS - TURÓ PARC - Av. de Pau Casals,Superficie,12 Carrer del Mestre Nicolau 08021,1,0,0,0
678,Endesa CPO - PARKING SABA BAMSA PAU CASALS - TURÓ PARC - Av. de Pau Casals,Superficie,12 Carrer del Mestre Nicolau 08021,1,0,0,0
679,Endesa CPO - BAMSA - Passeig de Lluís Companys,Superficie,24 Passeig de Lluís Companys 08018,1,0,0,0
680,Endesa CPO - BAMSA - Passeig de Lluís Companys,Superficie,24 Passeig de Lluís Companys 08018,1,0,0,0
681,Endesa CPO - BAMSA - Passeig de Lluís Companys,Superficie,14 Passeig de Lluís Companys 08018,1,0,0,0
682,Endesa CPO - BAMSA - Passeig de Lluís Companys,Superficie,14 Passeig de Lluís Companys 08018,1,0,0,0
683,Endesa CPO - BAMSA - Passeig de Lluís Companys,Superficie,24 Passeig de Lluís Companys 08018,1,0,0,0
684,Endesa CPO - BAMSA - Passeig de Lluís Companys,Superficie,24 Passeig de Lluís Companys 08018,1,0,0,0
685,Endesa CPO - BAMSA - Passeig de Lluís Companys,Superficie,14 Passeig de Lluís Companys 08018,1,0,0,0
686,Endesa CPO - BAMSA - Passeig de Lluís Companys,Superficie,14 Passeig de Lluís Companys 08018,1,0,0,0
687,Endesa CPO - BAMSA - Carrer del Baluard,Superficie,5 Carrer d'Andrea Dòria 08003,1,0,0,0
688,Endesa CPO - BAMSA - Carrer del Baluard,Superficie,5 Carrer d'Andrea Dòria 08003,1,0,0,0
689,Endesa CPO - BAMSA - Carrer del Baluard,Superficie,5 Carrer d'Andrea Dòria 08003,1,0,0,0
690,Endesa CPO - BAMSA - Carrer del Baluard,Superficie,5 Carrer d'Andrea Dòria 08003,1,0,0,0
691,Endesa CPO - SABA - Travessera de Gràcia,Superficie,17 Travessera de Gràcia 08021,1,0,0,0
692,Endesa CPO - SABA - Travessera de Gràcia,Superficie,17 Travessera de Gràcia 08021,1,0,0,0
693,Endesa CPO - SABA - Av. de la Catedral,Superficie,12 Carrer del Doctor Joaquim Pou 08002,1,0,0,0
694,Endesa CPO - SABA - Av. de la Catedral,Superficie,12 Carrer del Doctor Joaquim Pou 08002,1,0,0,0
695,Endesa CPO - BAMSA - Carrer de l'Abat Safont,Superficie,1 Carrer de l'Abat Safont 08001,1,0,0,0
696,Endesa CPO - BAMSA - Carrer de l'Abat Safont,Superficie,1 Carrer de l'Abat Safont 08001,1,0,0,0
697,Endesa CPO - SABA - Carrer de Pau Claris,Superficie,168 Carrer de Pau Claris 08037,1,0,0,0
698,Endesa CPO - SABA - Carrer de Pau Claris,Superficie,168 Carrer de Pau Claris 08037,1,0,0,0
699,Endesa CPO - SABA - Carrer de Pau Claris,Superficie,168 Carrer de Pau Claris 08037,1,0,0,0
700,Endesa CPO - SABA - Carrer de Pau Claris,Superficie,168 Carrer de Pau Claris 08037,1,0,0,0
701,Endesa CPO - BAMSA - Carrer de l'Abat Safont,Superficie,1 Carrer de l'Abat Safont 08001,1,0,0,0
702,Endesa CPO - BAMSA - Carrer de l'Abat Safont,Superficie,1 Carrer de l'Abat Safont 08001,1,0,0,0
703,Endesa CPO - SABA - Gran Via de Carles III,Superficie,85.B Gran Via de Carles III 08028,1,0,0,0
704,Endesa CPO - SABA - Gran Via de Carles III,Superficie,85.B Gran Via de Carles III 08028,1,0,0,0
705,Endesa CPO - SABA - Gran Via de Carles III 85 Bis,Superficie,95 Gran Via de Carles III 08028,1,0,0,0
706,Endesa CPO - SABA - Gran Via de Carles III 85 Bis,Superficie,95 Gran Via de Carles III 08028,1,0,0,0
707,Endesa CPO - BAMSA - Carrer dels Àngels,Superficie,1 Carrer de Montalegre 08001,1,0,0,0
708,Endesa CPO - BAMSA - Carrer dels Àngels,Superficie,1 Carrer de Montalegre 08001,1,0,0,0
709,Endesa CPO - APARCAMIENTO SABA CATEDRAL - Av. de la Catedral,Superficie,12 Carrer del Doctor Joaquim Pou 08002,1,0,0,0
710,Endesa CPO - APARCAMIENTO SABA CATEDRAL - Av. de la Catedral,Superficie,12 Carrer del Doctor Joaquim Pou 08002,1,0,0,0
711,Endesa CPO - BAMSA - Carrer dels Àngels,Superficie,1 Carrer de Montalegre 08001,1,0,0,0
712,Endesa CPO - BAMSA - Carrer dels Àngels,Superficie,1 Carrer de Montalegre 08001,1,0,0,0
713,Endesa CPO - BAMSA - Av. de Francesc Cambó,Superficie,10 Avinguda de Francesc Cambó 08003,1,0,0,0
714,Endesa CPO - BAMSA - Av. de Francesc Cambó,Superficie,10 Avinguda de Francesc Cambó 08003,1,0,0,0
715,Endesa CPO - BAMSA - Passeig de Lluís Companys,Superficie,24 Passeig de Lluís Companys 08018,1,0,0,0
716,Endesa CPO - BAMSA - Passeig de Lluís Companys,Superficie,24 Passeig de Lluís Companys 08018,1,0,0,0
717,Endesa CPO - ANPORA - Via Augusta,Superficie,23 Via Augusta 08006,1,0,0,0
718,Endesa CPO - ANPORA - Via Augusta,Superficie,23 Via Augusta 08006,1,0,0,0
719,Endesa CPO - ANPORA - Via Augusta,Superficie,23 Via Augusta 08006,1,0,0,0
720,Endesa CPO - ANPORA - Via Augusta,Superficie,23 Via Augusta 08006,1,0,0,0
721,Endesa CPO - BAMSA - Pl. de Catalunya,Superficie,La Rambla 08002,1,0,0,0
722,Endesa CPO - BAMSA - Pl. de Catalunya,Superficie,La Rambla 08002,1,0,0,0
723,Endesa CPO - BAMSA - Pl. de Catalunya,Superficie,La Rambla 08002,1,0,0,0
724,Endesa CPO - BAMSA - Pl. de Catalunya,Superficie,La Rambla 08002,1,0,0,0
725,Endesa CPO - SABA - Passeig de Lluís Companys,Superficie,24 Passeig de Lluís Companys 08018,1,0,0,0
726,Endesa CPO - SABA - Passeig de Lluís Companys,Superficie,24 Passeig de Lluís Companys 08018,1,0,0,0
